"source","type","id","title","phone","whatsapp_context","context"
"rendered-page","public","","/contact-us/","+254 746 334 492","yes","sPro Open map directions to Nairobi CBD Nairobi CBD Call or WhatsApp: +254 746 334 492Email: support@homeskitspro.comStore Hours: Mon. - Sat: 9:00am - 8:00p"
"rendered-page","public","","/contact-us/","+254 746 334 492","no","""></span> <span class=""wd-list-content list-content""> +254 746 334 492 </span> <a href=""tel:+254746334492"" class=""wd-fill"""
"rendered-page","public","","/contact-us/","+254746334492","no","ntent""> +254 746 334 492 </span> <a href=""tel:+254746334492"" class=""wd-fill"" aria-label=""List item link""></a> </li> "
"rendered-page","public","","/contact-us/","+254746334492","yes","g>Prefer a quick response?</strong><br>Call or WhatsApp: <a href=""tel:+254746334492"">+254 746 334 492</a><br>Email: <a href=""mailto:support@homeskitspro."
"rendered-page","public","","/contact-us/","+254 746 334 492","yes","k response?</strong><br>Call or WhatsApp: <a href=""tel:+254746334492"">+254 746 334 492</a><br>Email: <a href=""mailto:support@homeskitspro.com"">support@homes"
"rendered-page","public","","/contact-us/","+254) 746334492","no","> <span class=""wd-list-content list-content""> Phone: (+254) 746334492 </span> </li> <li class=""elementor-repeater-"
"rendered-page","public","","/services/","+254 746 334 492","no","""></span> <span class=""wd-list-content list-content""> +254 746 334 492 </span> <a href=""tel:+254746334492"" class=""wd-fill"""
"rendered-page","public","","/services/","+254746334492","no","ntent""> +254 746 334 492 </span> <a href=""tel:+254746334492"" class=""wd-fill"" aria-label=""List item link""></a> </li> "
"rendered-page","public","","/services/","+254746334492","no","ctangle btn-size-large btn-color-white btn-icon-pos-right"" href=""tel:+254746334492""> <span class=""wd-btn-text"" data-elementor-setting-key=""text""> "
"rendered-page","public","","/services/","+254) 746334492","no","> <span class=""wd-list-content list-content""> Phone: (+254) 746334492 </span> </li> <li class=""elementor-repeater-"
"rendered-page","public","","/track-order/","+254 746 334 492","no","""></span> <span class=""wd-list-content list-content""> +254 746 334 492 </span> <a href=""tel:+254746334492"" class=""wd-fill"""
"rendered-page","public","","/track-order/","+254746334492","no","ntent""> +254 746 334 492 </span> <a href=""tel:+254746334492"" class=""wd-fill"" aria-label=""List item link""></a> </li> "
"rendered-page","public","","/track-order/","+254 746 334 492","no","fo-box-inner reset-last-child""data-elementor-setting-key=""content""><p>+254 746 334 492</p> </div> </div> <a href=""#"" class=""wd-info-box-"
"rendered-page","public","","/track-order/","+254) 746334492","no","> <span class=""wd-list-content list-content""> Phone: (+254) 746334492 </span> </li> <li class=""elementor-repeater-"
"rendered-page","public","","/about-us/","+254 746 334 492","no","""></span> <span class=""wd-list-content list-content""> +254 746 334 492 </span> <a href=""tel:+254746334492"" class=""wd-fill"""
"rendered-page","public","","/about-us/","+254746334492","no","ntent""> +254 746 334 492 </span> <a href=""tel:+254746334492"" class=""wd-fill"" aria-label=""List item link""></a> </li> "
"rendered-page","public","","/about-us/","+254) 746334492","no","> <span class=""wd-list-content list-content""> Phone: (+254) 746334492 </span> </li> <li class=""elementor-repeater-"
"rendered-page","public","","/privacy-policy/","+254 746 334 492","no","""></span> <span class=""wd-list-content list-content""> +254 746 334 492 </span> <a href=""tel:+254746334492"" class=""wd-fill"""
"rendered-page","public","","/privacy-policy/","+254746334492","no","ntent""> +254 746 334 492 </span> <a href=""tel:+254746334492"" class=""wd-fill"" aria-label=""List item link""></a> </li> "
"rendered-page","public","","/privacy-policy/","+254 746 334 492","yes","/strong> support@homeskitspro.com</li> <li><strong>WhatsApp:</strong> +254 746 334 492</li> <li><strong>Contact Page:</strong> <a href=""https://homeskitspro"
"rendered-page","public","","/privacy-policy/","+254) 746334492","no","> <span class=""wd-list-content list-content""> Phone: (+254) 746334492 </span> </li> <li class=""elementor-repeater-"
"rendered-page","public","","/returns-and-refunds/","+254 746 334 492","no","""></span> <span class=""wd-list-content list-content""> +254 746 334 492 </span> <a href=""tel:+254746334492"" class=""wd-fill"""
"rendered-page","public","","/returns-and-refunds/","+254746334492","no","ntent""> +254 746 334 492 </span> <a href=""tel:+254746334492"" class=""wd-fill"" aria-label=""List item link""></a> </li> "
"rendered-page","public","","/returns-and-refunds/","+254 746 334 492","yes","via:</p> <ul class=""wp-block-list""> <li><strong>WhatsApp:</strong> +254 746 334 492</li> <li><strong>Email:</strong> <a href=""mailto:support@homeskits"
"rendered-page","public","","/returns-and-refunds/","+254 746 334 492","yes","-block-list""> <li>Contact us within 14 days of delivery via WhatsApp (+254 746 334 492) or email (<a href=""mailto:support@homeskitspro.com"">support@homeskit"
"rendered-page","public","","/returns-and-refunds/","+254 746 334 492","yes","eam:</p> <ul class=""wp-block-list""> <li><strong>WhatsApp:</strong> +254 746 334 492</li> <li><strong>Email:</strong> <a href=""mailto:support@homeskits"
"rendered-page","public","","/returns-and-refunds/","+254) 746334492","no","> <span class=""wd-list-content list-content""> Phone: (+254) 746334492 </span> </li> <li class=""elementor-repeater-"
