"id","sku","name","categories","brand","mpn","global_unique_id","gtin","upc","ean","isbn","identifier_exists","meta_keys"
"47042","HSP-042","Von Twin Tub Washing Machine 7kg VAWM-707S","Laundry","Von","","6009670000000","6009670000000","","","","","fb_brand|fb_mpn|fb_gtin"
"46717","HSP-006","Total Cordless Drill 12V Lithium-Ion 1.5Ah with 2 Batteries","Power Tools","Total","","","","","","","","fb_brand"
"46716","HSP-022","Razor Wire Concertina Coil 45cm Diameter 10 Metre Roll Security","Safety Tools","HomesKitsPro","","","","","","","","fb_brand"
"46715","HSP-029","Brass Ball Valve 3/4 Inch Full Bore Lever Handle","Accessories","HomesKitsPro","","","","","","","","fb_brand"
"46714","HSP-030","Brass Check Valve Non Return Valve 1 Inch Female Thread","Accessories","HomesKitsPro","","","","","","","","fb_brand"
"46713","HSP-032","Plastic Float Ball Valve 1/2 Inch for Water Tank Automatic Refill","Accessories","HomesKitsPro","","","","","","","","fb_brand"
"46712","HSP-013","Total Chain Block 3-Ton 3 Metres Lift Hoist","Hand Tools","Total","","","","","","","","fb_brand"
"46711","HSP-010","Staple Gun 140 Type Heavy Duty 14mm Staples with 1000 Staples","Hand Tools","HomesKitsPro","","","","","","","","fb_brand"
"46710","HSP-017","Total Digital Multimeter Auto-Ranging AC DC Voltage Current Resistance","Power Tools","Total","","","","","","","","fb_brand"
"46709","HSP-041","Total Electric Lawn Mower 1800W 46cm Cutting Width Grass Collection","Home &amp; Garden","Total","","","","","","","","fb_brand"
"46708","HSP-034","Total Electric Pressure Washer 1800W 150 Bar","Water Pumps","Total","","","","","","","","fb_brand"
"46707","HSP-040","Maxmech 2.5KVA Petrol Generator Single Phase Portable","Energy","Maxmech","","","","","","","","fb_brand"
"46706","HSP-019","Angle Grinder Polisher Buffing Machine 180mm 1800W Variable Speed","Power Tools","HomesKitsPro","","","","","","","","fb_brand"
"46705","HSP-028","Total Combination Spanner Wrench Set 6-24mm 9-Piece","Hand Tools","Total","","","","","","","","fb_brand"
"46704","HSP-018","Total Pipe Cutter Tube Cutter 3-32mm for Copper and PVC","Hand Tools","Total","","","","","","","","fb_brand"
"46703","HSP-024","Total Spirit Level 60cm Aluminium with 3 Vials","Hand Tools","Total","","","","","","","","fb_brand"
"46702","HSP-001","Total Angle Grinder 1200W 125mm 3 Discs Included","Power Tools","Total","","","","","","","","fb_brand"
"46701","HSP-002","Total Angle Grinder 850W 115mm with Safety Guard","Power Tools","Total","","","","","","","","fb_brand"
"46700","HSP-037","Premier 28L Cooler Box Chiller Box for Fishing Camping Outdoor","Sports &amp; Outdoors","Premier","","","","","","","","fb_brand"
"46699","HSP-012","Total Safety Helmet Hard Hat White EN397 Certified","Safety Tools","Total","","","","","","","","fb_brand"
"46698","HSP-027","Total Work Gloves Cut Resistant Level 5 Anti-Vibration","Safety Tools","Total","","","","","","","","fb_brand"
"46697","HSP-039","Standard Two Way Washing Machine Water Inlet Electric Solenoid Valve","Laundry","HomesKitsPro","","","","","","","","fb_brand"
"46696","HSP-021","Total Rotary Hammer 800W 26mm SDS Plus 3 Functions","Power Tools","Total","","","","","","","","fb_brand"
"46695","HSP-015","Total Jig Saw 650W Variable Speed Orbital Action","Power Tools","Total","","","","","","","","fb_brand"
"46694","HSP-020","Total Reciprocating Saw 900W Variable Speed with 2 Blades","Power Tools","Total","","","","","","","","fb_brand"
"46693","HSP-031","PPR Elbow 20mm 90 Degree Fitting 10 Pack","Accessories","HomesKitsPro","","","","","","","","fb_brand"
"46692","HSP-033","PPR Pipe 20mm x 4 Metres PN20 Hot and Cold Water","Accessories","HomesKitsPro","","","","","","","","fb_brand"
"46691","HSP-038","Heavy Duty Mountain Bike 26 Inch 21 Speed Shimano Gears","Sports &amp; Outdoors","HomesKitsPro","","","","","","","","fb_brand"
"46690","HSP-007","Total Cordless Angle Grinder 20V 115mm with Battery","Power Tools","Total","","","","","","","","fb_brand"
"46689","HSP-036","Alltop 300W Solar Flood Light Outdoor High Power","Lighting","Alltop","","","","","","","","fb_brand"
"46688","HSP-009","Total Safety Goggles Chemical Splash and Impact Protection","Safety Tools","Total","","","","","","","","fb_brand"
"46687","HSP-016","Inverter Welding Machine 200A IGBT MMA ARC Welder","Welding","HomesKitsPro","","","","","","","","fb_brand"
"46686","HSP-025","Total Measuring Tape 5m Metric and Imperial","Hand Tools","Total","","","","","","","","fb_brand"
"46685","HSP-011","Total Claw Hammer 16oz Fibreglass Handle","Hand Tools","Total","","","","","","","","fb_brand"
"46684","HSP-004","Total Cordless 2 Piece Combo Kit 20V","Power Tools","Total","","","","","","","","fb_brand"
"46683","HSP-003","Total TCT Saw Blade 235mm 60 Teeth","Power Tools","Total","","","","","","","","fb_brand"
"46682","HSP-035","USK Submersible Water Pump 0.5HP 50m","Water Pumps","USK","","","","","","","","fb_brand"
"46681","HSP-008","Total Cordless Screwdriver 4V USB-C Charging Integrated LED","Power Tools","Total","","","","","","","","fb_brand"
"46680","HSP-023","168pcs Mechanic Socket Hand Tool Kits","Hand Tools","HomesKitsPro","","","","","","","","fb_brand"
"46679","HSP-005","Total Brushless Cordless Impact Drill 96Nm 20V","Power Tools","Total","","","","","","","","fb_brand"
"46678","HSP-014","Total Cordless Impact Wrench 1350Nm 20V Brushless","Power Tools","Total","","","","","","","","fb_brand"
"46676","HSP-026","Total 168 Piece Hand Tools Set","Hand Tools","Total","","","","","","","","fb_brand"
"46540","","105 Pcs Metal Rotary Tool Accessory Set Kit Electric Drill Grinder Grinding Polishing","Power Tools","","","","","","","","",""
"46539","","Open-Ear Air Conduction Bluetooth Earbuds LED Charging Case Sport Beige","Audio","","","","","","","","",""
"46538","","TCL 32S5K 32 Inch QLED HDR Google Smart TV Dolby Audio","TVs &amp; Home Entertainment","","","","","","","","",""
"46537","","Dayliff Single Sediment Water Filter 20 Inch Blue Body with Free Cartridge","Water Filters &amp; Purifiers","","","","","","","","",""
"46536","","100 Pieces 20mm x 20mm Female Adapter","Accessories","","","","","","","","",""
"46535","","100 Pieces Female Adapter 25mm x 1/2 Inch","Accessories","","","","","","","","",""
"46534","","10 In 1 Aluminium Multifunctional Ladder Up To 150 Kg 2 By 4","Ladders &amp; Scaffolding","","","","","","","","",""
"46533","","10 Pack Auto Drippers Self Plant Watering Spikes Automatic Adjustable Control Valve","Accessories","","","","","","","","",""
"46532","","10 Pcs Orange Thread Seal Tape Set","Accessories","","","","","","","","",""
"46531","","1/2 Inch Clear PVC Hose Pipe 120ft","Accessories","","","","","","","","",""
"46530","","10pcs Disposable Drain Sticker Mesh Hair Filter Net for Bathroom Drainage Insect Proof","Accessories","","","","","","","","",""
"46528","","1080P PTZ Wi-Fi CCTV Bulb Camera 360 Degree Smart IP Surveillance","Security","","","","","","","","",""
"46527","","1000W Personal Hair Dryer Compact","Personal Care","","","","","","","","",""
"46526","","Cordless High-Pressure Car Wash Spray Gun 88V 2x Lithium Batteries Foam Bottle Dual Nozzle","Water Pumps","","","","","","","","",""
"46524","","TOTAL TPWLI20362 20V Cordless High Pressure Washer 24.8 Bar 360 PSI 2.0Ah Battery 6m Suction Hose","Water Pumps","","","","","","","","",""
"46522","","Total TGT11316 High Pressure Washer 1400W 130 Bar 1900 PSI Carbon Brush Motor Auto Stop","Water Pumps","","","","","","","","",""
"46520","","Total TGT11266 High Pressure Washer 2800W 180 Bar 2600 PSI Copper Pump Auto Stop 5m Hose","Water Pumps","","","","","","","","",""
"46519","","Rutanpump JZDC3.5-48V-400W Solar Submersible Pump 400W 48V DC 50m Max Head","Water Pumps","","","","","","","","",""
"46517","","Rutanpump JZDC3.5-24V-400W Solar Submersible Screw Pump 400W 24V DC 45m Max Head","Water Pumps","","","","","","","","",""
"46515","","Rutanpump JZDC3.5-24V-250W Solar Submersible Screw Pump 250W 24V DC 30m Max Head","Water Pumps","","","","","","","","",""
"46513","","Royce High Pressure Washer 1200W Electric Car Wash Machine with Hose and Spray Gun","Water Pumps","","","","","","","","",""
"46512","","Premier 900W Solar Brushless Screw Pump Kit 110V DC 130m Head Pro Controller","Water Pumps","","","","","","","","",""
"46510","","Premier 600W Solar Brushless Screw Pump Kit 72V DC 110m Head Borehole","Water Pumps","","","","","","","","",""
"46508","","Premier 400W 48V DC Solar Submersible Pump Brushless Screw Pump 95m Head","Water Pumps","","","","","","","","",""
"46506","","Premier 3FS1.5-80-36 300 Solar Submersible Pump 300W 36V DC 80m Head 1.2m3 Per H","Water Pumps","","","","","","","","",""
"46504","","Premier 250W Solar Submersible Pump Kit 24V DC 65m Head Digital Controller","Water Pumps","","","","","","","","",""
"46502","","Pedrollo PKM60 1HP Peripheral Water Booster Pump Single Phase Cast Iron Continuous Duty","Water Pumps","","","","","","","","",""
"46500","","Pedrollo 0.5HP Peripheral Water Booster Pump 35m Head Cast Iron","Water Pumps","","","","","","","","",""
"46498","","Maxmech PW-210 Petrol Pressure Washer 7.0HP 3000 PSI 206 Bar Heavy Duty Axial Pump","Water Pumps","","","","","","","","",""
"46496","","Maxmech PC-10QA Automatic Pump Pressure Controller 10 Bar 1.1kW","Water Pumps","","","","","","","","",""
"46494","","Maxmech MQB-60 Surface Water Pump 0.5HP Copper Winding 40m Head 2100L Per Hr","Water Pumps","","","","","","","","",""
"46492","","Maxmech 3000 PSI Petrol High Pressure Washer 6.5HP 4-Stroke Gasoline Engine","Water Pumps","","","","","","","","",""
"46490","","Maxmech 24V DC Solar Submersible Water Pump 250W 50m Max Head 1500L Per H","Water Pumps","","","","","","","","",""
"46488","","Maxmech 1HP Submersible Water Pump 32m Lift 1.5m3 Per Hr 1 Inch Outlet 8m Cable","Water Pumps","","","","","","","","",""
"46486","","LSWQB 12V DC Solar Surface Water Pump 15m Head 2000L Per H 180W","Water Pumps","","","","","","","","",""
"46484","","Ingco SWP3701 3 Inch Screw Submersible Well Pump 370W 0.5HP","Water Pumps","","","","","","","","",""
"46483","","INGCO Electronic Automatic Water Pump Pressure Controller","Water Pumps","","","","","","","","",""
"46482","","Dayliff Heavy Duty 2 Inch Petrol Water Pump 4 Stroke Engine","Water Pumps","","","","","","","","",""
"46480","","Dayliff DSD 3/7 Submersible Borehole Pump 0.37kW 0.5HP","Water Pumps","","","","","","","","",""
"46479","","Dayliff DSD 3/13 Submersible Borehole Pump 0.75kW 1HP","Water Pumps","","","","","","","","",""
"46478","","Dayliff 1HP Water Pump for Homes Tanks and Small Buildings","Water Pumps","","","","","","","","",""
