"sku","name","categories","category_root","brand","mpn","gtin","status","product_family","match_reason","match_score","live_id","live_sku","live_name","live_brand","live_mpn","live_categories","live_permalink"
"HSP-SOLAR001","Sonar 30W Solar Flood Light Outdoor Motion Sensor 6500K SNR-SFL30","Lighting > Outdoor Solar Lighting","Lighting","Sonar","SNR-SFL30","6941693230019","present_similar","solar_flood_light","same product family: solar_flood_light; same category family","0.75","46689","HSP-036","Alltop 300W Solar Flood Light Outdoor High Power","Alltop","ALLTOP-300W","Lighting","https://homeskitspro.com/product/alltop-300w-solar-flood-light-outdoor-high-power/"
"HSP-EXT001","Electromate 4-Way Extension Cord USB Ports 3M Surge Protection ELM-EXT4U","Electrical > Extension Cords & Power Strips","Electrical","Electromate","ELM-EXT4U","6940033220023","missing","extension_cord","no live product in same family (extension_cord)","0.00","","","","","","",""
"HSP-DRILL001","Bosch 20V Cordless Drill Driver 2.0Ah Lithium Battery GSR 20V-21","Tools & Hardware > Drills & Drivers","Tools & Hardware","Bosch","GSR 20V-21","3165140892278","present_similar","cordless_drill","same product family: cordless_drill; same category family","0.75","46717","HSP-006","Total Cordless Drill 12V Lithium-Ion 1.5Ah with 2 Batteries","Total","TDDLI12252","Power Tools","https://homeskitspro.com/product/total-cordless-drill-12v-lithium-ion-1-5ah-with-2-batteries/"
"HSP-DRILL002","Bosch Impact Drill 710W 13mm Corded Variable Speed GSB 13 RE","Tools & Hardware > Drills & Drivers","Tools & Hardware","Bosch","GSB 13 RE","3165140344364","present_similar","cordless_drill","same product family: cordless_drill; same category family","0.75","46717","HSP-006","Total Cordless Drill 12V Lithium-Ion 1.5Ah with 2 Batteries","Total","TDDLI12252","Power Tools","https://homeskitspro.com/product/total-cordless-drill-12v-lithium-ion-1-5ah-with-2-batteries/"
"HSP-GRINDER001","Bosch Angle Grinder 850W 115mm GWS 850 C","Tools & Hardware > Grinders & Cutting Tools","Tools & Hardware","Bosch","GWS 850 C","3165140817011","present_similar","angle_grinder","same product family: angle_grinder; same category family","0.75","46706","HSP-019","Angle Grinder Polisher Buffing Machine 180mm 1800W Variable Speed","HomesKitsPro","BUFF-180MM-1800W","Power Tools","https://homeskitspro.com/product/angle-grinder-polisher-buffing-machine-180mm-1800w-variable-speed/"
"HSP-GRINDER002","Bosch Heavy Duty Angle Grinder 2200W 230mm GWS 22-230 JH","Tools & Hardware > Grinders & Cutting Tools","Tools & Hardware","Bosch","GWS 22-230 JH","3165140697798","present_similar","angle_grinder","same product family: angle_grinder; same category family","0.75","46706","HSP-019","Angle Grinder Polisher Buffing Machine 180mm 1800W Variable Speed","HomesKitsPro","BUFF-180MM-1800W","Power Tools","https://homeskitspro.com/product/angle-grinder-polisher-buffing-machine-180mm-1800w-variable-speed/"
"HSP-CCTV001","SmartPro 4 Channel 1080P CCTV Security Kit DVR 2 Cameras Night Vision SMP-CCTV4CH","Security > CCTV & Smart Cameras","Security","SmartPro","SMP-CCTV4CH","6946712110014","present_similar","cctv_camera","same product family: cctv_camera; same category family","0.75","46528","","1080P PTZ Wi-Fi CCTV Bulb Camera 360 Degree Smart IP Surveillance","HomesKitsPro","CCTV-BULB-1080P","Security","https://homeskitspro.com/product/1080p-ptz-wi-fi-cctv-bulb-camera-360-degree-smart-ip-surveillance/"
"HSP-SW001","SmartPro Fitness Smart Watch Heart Rate SpO2 Monitor Calls SMP-SW01","Electronics > Wearables > Smartwatches","Electronics","SmartPro","SMP-SW01","6946712120013","missing","smartwatch","no live product in same family (smartwatch)","0.00","","","","","","",""
"HSP-RUG001","Rich Living Room Carpet Anti-Slip 160cm x 230cm Modern Design RCH-CP16X23","Flooring > Carpets & Rugs","Flooring","Rich","RCH-CP16X23","6948233110016","missing","carpet_rug","no live product in same family (carpet_rug)","0.00","","","","","","",""
"HSP-WBENCH001","Bosch Heavy-Duty Steel Workbench 120cm x 60cm Lower Shelf GTA 3800","Tools & Hardware > Workbenches & Sawhorses","Tools & Hardware","Bosch","GTA 3800","3165140875219","missing","workbench","no live product in same family (workbench)","0.00","","","","","","",""
"HSP-SAW001","Bosch Circular Saw 1400W 185mm with TCT Blade GKS 190","Tools & Hardware > Saws & Cutting Tools","Tools & Hardware","Bosch","GKS 190","3165140818940","present_similar","circular_saw","same product family: circular_saw; same category family","0.75","46695","HSP-015","Total Jig Saw 650W Variable Speed Orbital Action","Total","TJS06521","Power Tools","https://homeskitspro.com/product/total-jig-saw-650w-variable-speed-orbital-action/"
"HSP-SMIRR001","Rich Bathroom Mirror Cabinet LED Lighting 60cm x 80cm RCH-MIRLED6080","Bathroom > Mirrors & Cabinets","Bathroom","Rich","RCH-MIRLED6080","6948233120015","missing","mirror_cabinet","no live product in same family (mirror_cabinet)","0.00","","","","","","",""
"HSP-SINK001","Rich Stainless Steel Kitchen Sink Single Bowl 60cm x 45cm with Drainer RCH-SINK6045","Bathroom > Sinks & Basins","Bathroom","Rich","RCH-SINK6045","6948233130014","missing","sink_basin","no live product in same family (sink_basin)","0.00","","","","","","",""
"HSP-TOI001","Rich Dual Flush Toilet Suite Soft Close Seat White RCH-TOI-DF","Bathroom > Toilets & Cisterns","Bathroom","Rich","RCH-TOI-DF","6948233140013","missing","toilet","no live product in same family (toilet)","0.00","","","","","","",""
"HSP-SHOWER001","Rich Rainfall Shower Head Set Stainless Steel Arm and Mixer Valve RCH-SHWR8","Bathroom > Bathtubs & Showers","Bathroom","Rich","RCH-SHWR8","6948233150012","present_similar","tap_fitting","same product family: tap_fitting; same category family","0.75","46715","HSP-029","Brass Ball Valve 3/4 Inch Full Bore Lever Handle","HomesKitsPro","BV-3/4-BRASS","Accessories","https://homeskitspro.com/product/brass-ball-valve-3-4-inch-full-bore-lever-handle/"
"HSP-AIRPUR001","AiLyons HEPA H13 Air Purifier PM2.5 Smoke Dust Removal 30m AYL-AP30","Home Appliances > Air Quality & Purifiers","Home Appliances","AiLyons","AYL-AP30","6937542110011","present_similar","air_purifier|water_filter","same product family: air_purifier|water_filter; same brand; same category family","0.99","47078","HSP-068","AiLyons Air Purifier HEPA 3-Stage AL-AP360","AiLyons","AL-AP360","Fans &amp; Air Treatment","https://homeskitspro.com/product/ailyons-air-purifier-hepa-3-stage-al-ap360/"
"HSP-FANFAN001","Von 16 Inch Stand Fan 3 Speed Remote Control Timer Oscillation VAFM-16RC","Home Appliances > Heating & Cooling","Home Appliances","Von","VAFM-16RC","6934177740013","present_similar","stand_fan","same product family: stand_fan; same category family","0.75","47061","HSP-051","Nunix 18 Inch Standing Fan NX-F18","Nunix","NX-F18","Fans &amp; Air Treatment","https://homeskitspro.com/product/nunix-18-inch-standing-fan-nx-f18/"
"HSP-TAPEF001","Rich Kitchen Mixer Tap Chrome Dual Lever Ceramic Disc RCH-KTAP-CHR","Bathroom > Taps & Fittings","Bathroom","Rich","RCH-KTAP-CHR","6948233160011","present_similar","tap_fitting","same product family: tap_fitting; same category family","0.75","46715","HSP-029","Brass Ball Valve 3/4 Inch Full Bore Lever Handle","HomesKitsPro","BV-3/4-BRASS","Accessories","https://homeskitspro.com/product/brass-ball-valve-3-4-inch-full-bore-lever-handle/"
"HSP-WF002","AiLyons 3-Stage Under Sink Water Filter Sediment Carbon UF Membrane AYL-WF3S","Water & Plumbing > Water Filters & Purifiers","Water & Plumbing","AiLyons","AYL-WF3S","6937542120010","present_similar","water_filter","same product family: water_filter; same brand","0.90","47078","HSP-068","AiLyons Air Purifier HEPA 3-Stage AL-AP360","AiLyons","AL-AP360","Fans &amp; Air Treatment","https://homeskitspro.com/product/ailyons-air-purifier-hepa-3-stage-al-ap360/"
"HSP-DRAIN001","Rich Round Floor Drain 10cm x 10cm Stainless Steel Deep Water Seal RCH-FD10","Water & Plumbing > Drainage & Sewerage","Water & Plumbing","Rich","RCH-FD10","6948233170010","present_similar","floor_drain","same product family: floor_drain; same category family","0.75","46530","","10pcs Disposable Drain Sticker Mesh Hair Filter Net for Bathroom Drainage Insect Proof","HomesKitsPro","DRAINMESH-10PK","Accessories","https://homeskitspro.com/product/10pcs-disposable-drain-sticker-mesh-hair-filter-net-for-bathroom-drainage-insect-proof/"
"HSP-PROJ001","SmartPro 1080P Full HD Portable Projector Wi-Fi Bluetooth 200 Inch SMP-PROJ200","Electronics > Projectors & Displays","Electronics","SmartPro","SMP-PROJ200","6946712130012","present_similar","smart_tv","same product family: smart_tv; same category family","0.75","47060","HSP-050","Sonar Android Smart TV 55 inch SN-55ST4K","Sonar","SN-55ST4K","TVs &amp; Home Entertainment","https://homeskitspro.com/product/sonar-android-smart-tv-55-inch-sn-55st4k/"
"HSP-POWERBANK001","Sonar 20000mAh Power Bank Fast Charging PD 22.5W Dual USB-C SNR-PB20K","Electronics > Portable Charging","Electronics","Sonar","SNR-PB20K","6941693240018","present_similar","usb_cable","same product family: usb_cable","0.65","46681","HSP-008","Total Cordless Screwdriver 4V USB-C Charging Integrated LED","Total","TSDLI04062","Power Tools","https://homeskitspro.com/product/total-cordless-screwdriver-4v-usb-c-charging-integrated-led/"
"HSP-USBC001","Electromate USB-C to USB-C Fast Charge Cable 1.5m 100W Nylon Braided ELM-USBC100","Electrical > Cables & Adapters","Electrical","Electromate","ELM-USBC100","6940033230022","present_similar","usb_cable","same product family: usb_cable","0.65","46681","HSP-008","Total Cordless Screwdriver 4V USB-C Charging Integrated LED","Total","TSDLI04062","Power Tools","https://homeskitspro.com/product/total-cordless-screwdriver-4v-usb-c-charging-integrated-led/"
"HSP-SDCARD001","SmartPro 64GB MicroSD Card Class 10 A1 V30 with SD Adapter SMP-MSD64","Electronics > Memory & Storage","Electronics","SmartPro","SMP-MSD64","6946712140011","present_similar","tap_fitting","same product family: tap_fitting","0.65","46715","HSP-029","Brass Ball Valve 3/4 Inch Full Bore Lever Handle","HomesKitsPro","BV-3/4-BRASS","Accessories","https://homeskitspro.com/product/brass-ball-valve-3-4-inch-full-bore-lever-handle/"
"HSP-PIPE001","Dayliff 1 Inch x 100m Black Polythene Irrigation Pipe Roll PN4 DLPE-1-100M","Water & Plumbing > Pipes","Water & Plumbing","Dayliff","DLPE-1-100M","6931480110019","present_similar","pipe","same product family: pipe; same category family","0.75","46693","HSP-031","PPR Elbow 20mm 90 Degree Fitting 10 Pack","HomesKitsPro","PPR-ELB-20-90","Accessories","https://homeskitspro.com/product/ppr-elbow-20mm-90-degree-fitting-10-pack/"
"HSP-PIPE002","Dayliff 32mm HDPE Pipe 100m Roll PN8 Borehole and Irrigation DL-HDPE-32-100M","Water & Plumbing > Pipes","Water & Plumbing","Dayliff","DL-HDPE-32-100M","6931480120018","present_similar","pipe","same product family: pipe; same category family","0.75","46693","HSP-031","PPR Elbow 20mm 90 Degree Fitting 10 Pack","HomesKitsPro","PPR-ELB-20-90","Accessories","https://homeskitspro.com/product/ppr-elbow-20mm-90-degree-fitting-10-pack/"
