"id","sku","name","categories","width","height","kb","image"
"47050","HSP-063","AiLyons Electric Blender 1.5L AL-BL150","Cooking &amp; Kitchen","300","300","10","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-063-ailyons-electric-blender-1-5l-clean-1.jpg"
"47049","HSP-057","Solarmax 200W Monocrystalline Solar Panel SMX-200M","Solar","300","300","14.4","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-057-solarmax-200w-monocrystalline-solar-panel-smx-200m.jpg"
"47048","HSP-053","Electromate Air Cooler 20L EM-AC20","Fans &amp; Air Treatment","1024","1536","597.1","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260417_161328.png"
"47047","HSP-052","GoldenTech Rich Tower Fan with Remote GT-TF36R","Fans &amp; Air Treatment","600","600","12.4","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-052-goldentech-rich-tower-fan.jpg"
"47046","HSP-049","Vitro Full HD TV 32 inch VT-3200S","TVs &amp; Home Entertainment","1024","1024","943.1","https://homeskitspro.com/wp-content/uploads/2026/04/22a6b81d-1e77-4327-bddc-79e42095d526.png"
"47045","HSP-047","Sonar Bar Fridge 90L SD-90","Refrigerators","1536","1024","658.1","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260417_165618.png"
"47044","HSP-044","Nunix Top Load Washing Machine 6kg NX-6000","Laundry","1536","1024","492.1","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260417_164955.png"
"47043","HSP-043","Hisense Front Load Washing Machine 8kg WFQY8014EVJM","Laundry","1000","1000","98.7","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-043-hisense-front-load-washing-machine-8kg-wfqy8014evjm.jpg"
"47042","HSP-042","Von Twin Tub Washing Machine 7kg VAWM-707S","Laundry","500","530","300.2","https://homeskitspro.com/wp-content/uploads/2026/04/WM-02-500x530-1.png"
"46717","HSP-006","Total Cordless Drill 12V Lithium-Ion 1.5Ah with 2 Batteries","Power Tools","894","976","53.8","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-ENCLDR001.jpg"
"46716","HSP-022","Razor Wire Concertina Coil 45cm Diameter 10 Metre Roll Security","Safety Tools","530","319","19.3","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-FENCING001.jpg"
"46715","HSP-029","Brass Ball Valve 3/4 Inch Full Bore Lever Handle","Accessories","128","128","11","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-BALLVALVE001.png"
"46714","HSP-030","Brass Check Valve Non Return Valve 1 Inch Female Thread","Accessories","600","600","13","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-CHECKVALVE001.jpg"
"46713","HSP-032","Plastic Float Ball Valve 1/2 Inch for Water Tank Automatic Refill","Accessories","160","160","5.5","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-TANKFLT001.jpg"
"46712","HSP-013","Total Chain Block 3-Ton 3 Metres Lift Hoist","Hand Tools","450","129","20.2","https://homeskitspro.com/wp-content/uploads/2026/04/THT1631.jpg"
"46711","HSP-010","Staple Gun 140 Type Heavy Duty 14mm Staples with 1000 Staples","Hand Tools","1500","1500","178.2","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-STAPLGUN001.png"
"46710","HSP-017","Total Digital Multimeter Auto-Ranging AC DC Voltage Current Resistance","Power Tools","1000","1000","111.9","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-MULTIMET001.jpg"
"46709","HSP-041","Total Electric Lawn Mower 1800W 46cm Cutting Width Grass Collection","Home &amp; Garden","640","640","47.3","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-LWNMOW001.jpg"
"46708","HSP-034","Total Electric Pressure Washer 1800W 150 Bar","Water Pumps","0","0","0","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-PRSURE001.webp"
"46707","HSP-040","Maxmech 2.5KVA Petrol Generator Single Phase Portable","Energy","960","856","81.8","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-GENSET001.jpg"
"46706","HSP-019","Angle Grinder Polisher Buffing Machine 180mm 1800W Variable Speed","Power Tools","600","600","21.3","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-BUFFING001.jpg"
"46705","HSP-028","Total Combination Spanner Wrench Set 6-24mm 12-Piece","Hand Tools","500","500","46.4","https://homeskitspro.com/wp-content/uploads/2026/04/TOTAL-THT1022121-12pcs-combination-spanner-set-Size-6-24mm.jpg"
"46704","HSP-018","Total Pipe Cutter Tube Cutter 3-32mm for Copper and PVC","Hand Tools","1280","1280","47.1","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-PLINE001.jpg"
"46703","HSP-024","Total Spirit Level 60cm Aluminium with 3 Vials","Hand Tools","1280","1213","67.8","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-LEVEL001.jpg"
"46702","HSP-001","Total Angle Grinder 1200W 125mm 3 Discs Included","Power Tools","225","225","5.1","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-GRINDER002.jpg"
"46701","HSP-002","Total Angle Grinder 850W 115mm with Safety Guard","Power Tools","0","0","0","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-GRINDER001.webp"
"46700","HSP-037","Premier 28L Cooler Box Chiller Box for Fishing Camping Outdoor","Sports &amp; Outdoors","680","680","31.9","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-COOLER001.jpg"
"46699","HSP-012","Total Safety Helmet Hard Hat White EN397 Certified","Safety Tools","600","600","27.6","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-HARDHAT001-square.jpg"
"46698","HSP-027","Total Work Gloves Cut Resistant Level 5 Anti-Vibration","Safety Tools","1231","1280","165.3","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-SAFEGLOVE001.jpg"
"46697","HSP-039","Standard Two Way Washing Machine Water Inlet Electric Solenoid Valve","Laundry","1536","1024","467.5","https://homeskitspro.com/wp-content/uploads/2026/04/d1072942-f947-4d14-ae0e-92ef38b11465.png"
"46696","HSP-021","Total Rotary Hammer 800W 26mm SDS Plus 3 Functions","Power Tools","0","0","0","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-ROTHAM001.webp"
"46695","HSP-015","Total Jig Saw 650W Variable Speed Orbital Action","Power Tools","1500","1113","58.8","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-JIGSAW001.jpg"
"46694","HSP-020","Total Reciprocating Saw 900W Variable Speed with 2 Blades","Power Tools","600","600","29.5","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-RECIP001-square.jpg"
"46693","HSP-031","PPR Elbow 20mm 90 Degree Fitting 10 Pack","Accessories","0","0","0","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-PLMB002.webp"
"46692","HSP-033","PPR Pipe 20mm x 4 Metres PN20 Hot and Cold Water","Accessories","1000","1000","49.9","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-PLMB001.jpg"
"46691","HSP-038","Heavy Duty Mountain Bike 26 Inch 21 Speed Shimano Gears","Sports &amp; Outdoors","500","500","46","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-BIKE001.jpg"
"46690","HSP-007","Total Cordless Angle Grinder 20V 115mm with Battery","Power Tools","500","300","12.5","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-CITR001.jpg"
"46689","HSP-036","Alltop 300W Solar Flood Light Outdoor High Power","Lighting","960","1280","155.4","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-SLFL001.jpg"
"46688","HSP-009","Total Safety Goggles Chemical Splash and Impact Protection","Safety Tools","0","0","0","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-SFTY001.webp"
"46687","HSP-016","Inverter Welding Machine 200A IGBT MMA ARC Welder","Welding","0","0","0","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-WELD001.webp"
"46686","HSP-025","Total Measuring Tape 5m Metric and Imperial","Hand Tools","680","680","51.2","https://homeskitspro.com/wp-content/uploads/2026/04/Total-Measuring-Tape-5m.jpg"
"46685","HSP-011","Total Claw Hammer 16oz Fibreglass Handle","Hand Tools","0","0","0","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-HAM001.webp"
"46684","HSP-004","Total Cordless 2 Piece Combo Kit 20V","Power Tools","0","0","0","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-GCORD.webp"
"46683","HSP-003","Total TCT Saw Blade 235mm 60 Teeth","Power Tools","1280","1026","116.2","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-TCT235.jpg"
"46682","HSP-035","USK Submersible Water Pump 0.5HP 50m","Water Pumps","896","1195","1839.1","https://homeskitspro.com/wp-content/uploads/2026/04/USK-Submersible-pump.png"
"46681","HSP-008","Total Cordless Screwdriver 4V USB-C Charging Integrated LED","Power Tools","0","0","0","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-TCSD4.webp"
"46680","HSP-023","168pcs Mechanic Socket Hand Tool Kits","Hand Tools","500","500","40.6","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-168SK.jpg"
"46679","HSP-005","Total Brushless Cordless Impact Drill 96Nm 20V","Power Tools","0","0","0","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-CBID.webp"
"46678","HSP-014","Total Cordless Impact Wrench 1350Nm 20V Brushless","Power Tools","0","0","0","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-CIWR.webp"
"46676","HSP-026","Total 168 Piece Hand Tools Set","Hand Tools","0","0","0","https://homeskitspro.com/wp-content/uploads/2026/04/VOH-TW168.webp"
"46540","","105 Pcs Metal Rotary Tool Accessory Set Kit Electric Drill Grinder Grinding Polishing","Power Tools","1024","1024","852.9","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260411_180259.png"
"46539","","Open-Ear Air Conduction Bluetooth Earbuds LED Charging Case Sport Beige","Audio","300","300","16.9","https://homeskitspro.com/wp-content/uploads/2026/03/4_25_Open_Ear_Headphones_Air_Conduction_Headphones_Wireless_Bluetooth_5.3_Earbuds_LED_Display_Charging_Case_Sport_Design.jpg"
"46538","","TCL 32S5K 32 Inch QLED HDR Google Smart TV Dolby Audio","TVs &amp; Home Entertainment","1024","1024","710.4","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260411_182916.png"
"46537","","Dayliff Single Sediment Water Filter 20 Inch Blue Body with Free Cartridge","Water Filters &amp; Purifiers","300","300","4.1","https://homeskitspro.com/wp-content/uploads/2026/04/1-583.jpg"
"46536","","100 Pieces 20mm x 20mm Female Adapter","Accessories","300","300","3.2","https://homeskitspro.com/wp-content/uploads/2026/04/1-519.jpg"
"46535","","100 Pieces Female Adapter 25mm x 1/2 Inch","Accessories","300","300","1.9","https://homeskitspro.com/wp-content/uploads/2026/04/1-517.jpg"
"46534","","10 In 1 Aluminium Multifunctional Ladder Up To 150 Kg 2 By 4","Ladders &amp; Scaffolding","300","300","23.9","https://homeskitspro.com/wp-content/uploads/2026/04/1-2405.jpg"
"46533","","10 Pack Auto Drippers Self Plant Watering Spikes Automatic Adjustable Control Valve","Accessories","300","300","17.7","https://homeskitspro.com/wp-content/uploads/2026/04/1-402-1.jpg"
"46532","","10 Pcs Orange Thread Seal Tape Set","Accessories","300","300","13.3","https://homeskitspro.com/wp-content/uploads/2026/04/1-338.jpg"
"46531","","1/2 Inch Clear PVC Hose Pipe 120ft","Accessories","300","300","5.3","https://homeskitspro.com/wp-content/uploads/2026/04/1-1480.jpg"
"46530","","10pcs Disposable Drain Sticker Mesh Hair Filter Net for Bathroom Drainage Insect Proof","Accessories","339","387","158.5","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260408_112900-339x387-1.png"
"46528","","1080P PTZ Wi-Fi CCTV Bulb Camera 360 Degree Smart IP Surveillance","Security","300","300","20.8","https://homeskitspro.com/wp-content/uploads/2026/03/4_40_Digital_CCTV_WiFi_Bulb_PTZ_Smart_CameraWiFi_ip_ptz_security_surveillance_Camera1080P.jpg"
"46527","","1000W Personal Hair Dryer Compact","Personal Care","1024","1024","361.1","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260411_185421.png"
"46526","","Cordless High-Pressure Car Wash Spray Gun 88V 2x Lithium Batteries Foam Bottle Dual Nozzle","Water Pumps","600","600","339.7","https://homeskitspro.com/wp-content/uploads/2026/04/Cordless-High-Pressure-Car-Wash-Spray-Gun-600x600-1.png"
"46524","","TOTAL TPWLI20362 20V Cordless High Pressure Washer 24.8 Bar 360 PSI 2.0Ah Battery 6m Suction Hose","Water Pumps","1024","1024","503.5","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260411_184340.png"
"46522","","Total TGT11316 High Pressure Washer 1400W 130 Bar 1900 PSI Carbon Brush Motor Auto Stop","Water Pumps","1024","1024","728.5","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260411_184751.png"
"46520","","Total TGT11266 High Pressure Washer 2800W 180 Bar 2600 PSI Copper Pump Auto Stop 5m Hose","Water Pumps","500","500","33.4","https://homeskitspro.com/wp-content/uploads/2026/04/Total-Tgt11266-Total-High-Pressure-Washer-180bar-2800w.jpg"
"46519","","Rutanpump JZDC3.5-48V-400W Solar Submersible Pump 400W 48V DC 50m Max Head","Water Pumps","600","600","380.1","https://homeskitspro.com/wp-content/uploads/2026/04/Rutanpump-JZDC3.5-48V-400W-Solar-Submersible-Pump-600x600-1.png"
"46517","","Rutanpump JZDC3.5-24V-400W Solar Submersible Screw Pump 400W 24V DC 45m Max Head","Water Pumps","600","600","404.7","https://homeskitspro.com/wp-content/uploads/2026/04/Rutanpump-JZDC3.5-24V-400W-Solar-Submersible-Screw-Pump-?-400W-24V-DC-600x600-1.png"
"46515","","Rutanpump JZDC3.5-24V-250W Solar Submersible Screw Pump 250W 24V DC 30m Max Head","Water Pumps","600","600","452.4","https://homeskitspro.com/wp-content/uploads/2026/04/Rutanpump-24V-DC-Submersible-Water-Pump-250W-?-Stainless-Steel-50m-Head-600x600-1.png"
"46513","","Royce High Pressure Washer 1200W Electric Car Wash Machine with Hose and Spray Gun","Water Pumps","300","300","19.7","https://homeskitspro.com/wp-content/uploads/2026/04/1-1415.jpg"
"46512","","Premier 900W Solar Brushless Screw Pump Kit 110V DC 130m Head Pro Controller","Water Pumps","600","600","31.1","https://homeskitspro.com/wp-content/uploads/2026/04/Premier-900W-Solar-Brushless-Screw-Pump-Kit-?-110V-DC-130m-Head-600x600-1.jpg"
"46510","","Premier 600W Solar Brushless Screw Pump Kit 72V DC 110m Head Borehole","Water Pumps","600","600","324.1","https://homeskitspro.com/wp-content/uploads/2026/04/Premier-600W-Solar-Brushless-Screw-Pump-Kit-?-72V-DC-110m-Head-3FS1.5-110-72-600x600-1.png"
"46508","","Premier 400W 48V DC Solar Submersible Pump Brushless Screw Pump 95m Head","Water Pumps","600","600","30.7","https://homeskitspro.com/wp-content/uploads/2026/04/Premier-400W-Solar-Submersible-Pump-600x600-1.jpg"
"46506","","Premier 3FS1.5-80-36 300 Solar Submersible Pump 300W 36V DC 80m Head 1.2m3 Per H","Water Pumps","600","600","30.1","https://homeskitspro.com/wp-content/uploads/2026/04/Premier-300W-Solar-Submersible-Pump-600x600-1.jpg"
"46504","","Premier 250W Solar Submersible Pump Kit 24V DC 65m Head Digital Controller","Water Pumps","600","600","273.8","https://homeskitspro.com/wp-content/uploads/2026/04/Premier-250W-Solar-Submersible-Pump-Kit-?-24V-DC-600x600-1.png"
"46502","","Pedrollo PKM60 1HP Peripheral Water Booster Pump Single Phase Cast Iron Continuous Duty","Water Pumps","600","600","232.5","https://homeskitspro.com/wp-content/uploads/2026/04/Pedrollo-PKM60-1HP-Peripheral-Water-Booster-Pump-600x600-1.png"
"46500","","Pedrollo 0.5HP Peripheral Water Booster Pump 35m Head Cast Iron","Water Pumps","600","600","348","https://homeskitspro.com/wp-content/uploads/2026/04/Pedrollo-0.5HP-Peripheral-Water-Booster-Pump-?-35m-Head-600x600-1.png"
"46498","","Maxmech PW-210 Petrol Pressure Washer 7.0HP 3000 PSI 206 Bar Heavy Duty Axial Pump","Water Pumps","600","600","233.5","https://homeskitspro.com/wp-content/uploads/2026/04/Maxmech-PW-210-Petrol-Pressure-Washer-?-7.0HP-3000-PSI-600x600-1.png"
"46496","","Maxmech PC-10QA Automatic Pump Pressure Controller 10 Bar 1.1kW","Water Pumps","1024","1024","680.3","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260411_183805.png"
"46494","","Maxmech MQB-60 Surface Water Pump 0.5HP Copper Winding 40m Head 2100L Per Hr","Water Pumps","600","600","303.9","https://homeskitspro.com/wp-content/uploads/2026/04/Maxmech-MQB-60-Surface-Water-Pump-?-0.5HP-Copper-Winding-600x600-1.png"
"46492","","Maxmech 3000 PSI Petrol High Pressure Washer 6.5HP 4-Stroke Gasoline Engine","Water Pumps","600","600","191.3","https://homeskitspro.com/wp-content/uploads/2026/04/Maxmech-3000-PSI-Petrol-High-Pressure-Washer-600x600-1.png"
"46490","","Maxmech 24V DC Solar Submersible Water Pump 250W 50m Max Head 1500L Per H","Water Pumps","600","600","230.6","https://homeskitspro.com/wp-content/uploads/2026/04/Maxmech-24V-DC-Solar-Submersible-Water-Pump-250W-?-50m-Max-Head-600x600-1.png"
"46488","","Maxmech 1HP Submersible Water Pump 32m Lift 1.5m3 Per Hr 1 Inch Outlet 8m Cable","Water Pumps","600","600","375.5","https://homeskitspro.com/wp-content/uploads/2026/04/Maxmech-1HP-Submersible-Water-Pump-600x600-1.png"
"46486","","LSWQB 12V DC Solar Surface Water Pump 15m Head 2000L Per H 180W","Water Pumps","600","600","401","https://homeskitspro.com/wp-content/uploads/2026/04/LSWQB-12V-DC-Solar-Surface-Water-Pump-?-15m-Head-2000L-per-H-Flow-180W-600x600-1.png"
"46484","","Ingco SWP3701 3 Inch Screw Submersible Well Pump 370W 0.5HP","Water Pumps","300","300","11.6","https://homeskitspro.com/wp-content/uploads/2026/04/1-1009-1.jpg"
"46483","","INGCO Electronic Automatic Water Pump Pressure Controller","Water Pumps","1024","1024","638.9","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260411_183223.png"
"46482","","Dayliff Heavy Duty 2 Inch Petrol Water Pump 4 Stroke Engine","Water Pumps","600","600","26.3","https://homeskitspro.com/wp-content/uploads/2026/04/Daylift-heavy-Duty-2-Inch-4-Stroke-petrol-pump-600x600-1.jpg"
"46480","","Dayliff DSD 3/7 Submersible Borehole Pump 0.37kW 0.5HP","Water Pumps","500","500","8.5","https://homeskitspro.com/wp-content/uploads/2026/04/Dayliff-DSD-3-7-Well-pump.jpg"
"46479","","Dayliff DSD 3/13 Submersible Borehole Pump 0.75kW 1HP","Water Pumps","500","500","33.1","https://homeskitspro.com/wp-content/uploads/2026/04/Dayliff-DSD-3-13-Deep-well-submersible-pump-1HP.jpg"
"46478","","Dayliff 1HP Water Pump for Homes Tanks and Small Buildings","Water Pumps","600","600","37.2","https://homeskitspro.com/wp-content/uploads/2026/04/Dayliff-DDC-158E-600x600-1.jpg"
